STICK ID ,CANTIDAD,CODIGO DE BARRAS ,Lote
00111_01,1,7501089804099,14030045T
00779_01,1,7502009744976,140794
00779_01,4,7502009744976,150754
00310_02,1,7502227871652,RMN196
02677_01,1,7501088607950,33LK
00324_01,2,7501082224214,C298957A
00004_01,5,7501070902384,S1412724
00871_01,6,7501043163057,1507600057
00324_01,1,7501082224214,C368334A
00885_01,1,7501258205870,15Q238
01782_02,3,7501098606103,2000278
00532_01,10,7501409201553,AL201401
00138_01,3,7501303443530,XB30BBF
02770_03,5,7503003134930,1312181
01494_03,1,7501573902782,LB1506
00124_01,7,7501287678171,1500301A
00679_01,1,7501108712213,L21130
02726_01,10,7503000997927,15022015
01126_01,2,7501328980119,10862
01126_01,2,7501328980119,10898
01069_01,2,9300670132188,HHC142
00031_01,4,7501088509810,AEF335
01126_01,1,7501328980119,10892
01126_01,1,7501328980119,10898
02007_01,2,7501037900521,453712
00665_02,5,7501672690085,5010054
00111_01,8,7501089804099,14030045T
02225_01,5,7501409201096,AW201404
00023_01,15,7502003380538,5063
00031_01,2,7501088509810,AEF335
00030_01,14,7502006923534,SF572
01483_01,9,7501672602958,412089
00700_01,7,780083140595,15141665
00138_01,2,7501303443530,XB30AGB
00779_01,4,7502009744976,150754
00779_01,1,7502009744976,140794
00201_01,3,7501836000118,15G003
