STOCK ID ,CANTIDAD,codigo de barras,Lote
00031_01,6,7501088509810,AEK301
00179_02,4,7501559605539,W38742
00187_04,4,7501125159350,15Y055
00719_02,10,7501559605539,W42831
00759_01,4,7501277060030,944D14
01211_01,2,7503007822154,ES6P133
01523_01,3,7501752514218,15097
01782_02,12,7501098606103,2000312F00
02023_01,6,7501088507755,618
02468_01,4,3393370037385,F3644
02693_01,10,7502213040116,SJ278
02735_01,5,7501088506871,15F15
02736_01,2,7501088507472,15G06
02770_05,10,7501125104664,A14D278
02780_01,9,7501825302773,921G
02815_01,10,7502009742149,154176
02919_01,8,7501165006331,5F1870B
02961_01,4,7501303473117,WEL5F2
02967_01,2,7503007822635,EP50953
03000_01,4,7503007822338,EC70721
