ID,CANTIDAD,CB,LOTE
02604_11,4,7501349021440,16Y388
00069_01,2,7502223112452,16C023
00779_01,13,7502009744976,160523
02659_01,10,7502227871416,RR053
01922_01,4,7501109904143,FJZS900
00499_01,5,7501109790029,16D132
02225_01,4,7501409201096,215399
02697_01,5,736085904727,4015006
00116_01,2,3499320001328,6021245
01375_01,6,7501303451559,53241A
00866_01,10,7501043163637,c705862
00759_01,1,7501277060030,944D14
00189_01,2,7501250812519,50061
02865_05,3,7501573900542,SE1618
00899_01,1,7703331157506,543680
01375_01,1,7501303451559,53241A
02770_07,6,7501384506070,7211115
01494_03,1,7501573902782,LG1601
00055_06,17,780083141929,16141959
00885_01,1,7501258205870,151458
01453_03,3,7501563381528,502191
00899_01,2,7703331157506,543680
01453_01,1,7501075713183,340135
00665_02,1,7501672690085,0001670
