id,cantidad,codigo de barras,lote
01855_02,5,7501258205733,150034
00116_01,3,3499320001328,4022060
02618_01,10,7502009741784,150198
00499_01,1,7501109790029,5B262
01060_01,1,7501142940153,c140147
00679_01,5,7501108712213,L21130
01135_01,3,7501298216409,M44072
02648_01,2,7503001007649,LL1401
02833_01,1,7502211780397,R1409668
02626_04,3,7501825300878,954e
00135_01,1,7502209290068,m116f02
02553_01,4,7501165006171,449775
00494_01,4,7501049721145,BG201303
00764_01,1,7501049721268,BJ201401
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
00754_01,2,7501200000000,84761
00754_01,8,7501200000000,87391
02608_01,2,7501840000000,15C054
00643_04,1,7501080000000,620055
