id,cantidad,codigo de barras,lote,,
01479_01,38,7501349018273,u15j053,,
02572_02,5,7502216796126,15d134,,
02872_01,20,7501298204970,m50850,,
00463_02,20,7501125102288,n14u032,,
00687_07,9,7502208892256,502159,,
01479_06,3,7502261160262,50875,,
00692_08,19,7501258210997,150495,,
00284_01,3,300093644045,aa5418,,
00623_01,1,7501871730315,97788,,
01376_01,5,7501201400659,89114,,
02838_06,3,7501493888784,umo5614,,
02899_01,4,7501108767923,L92664,,
00493_01,2,7501049721114,BF201403,,
00726_01,1,7501089804013,15050097,,
